# ID|event|initial|cap|increment|timing and reset
134|同一敌人懈怠层数|0|12|2|每次全队主动弱化事件给目标2层，有暴率上升时3层，需6或4次；层仅2回合，不能跨任意长窗口累加。
135|回合开始妖精层数|0|30|2|合理流金队每回合2层，第15回合满90%攻击/150%物防；第13回合已停止补盾，不能拼满层新盾；S2第四次才840%。
137|身影消耗|10|10|1|初始10层，每回合消1层；第3回合全队5次暴击条件满足另消4层，最多约6回合后耗尽，之后60%阻绝。
139|S2施放|0|3|1|第三次S2四倍；防御在行动开始获得，不能保护首行动前的先手攻击。
140|自身低于30%生命且存活|0|1|1|灵痕每目标仅一次，触发后S2增强；不能假设先手即有灵痕或把一次回血算持续回复。
141|残香层数|0|20|1|主动弱化事件按已弱化敌人数每次1至5层，单敌需20次、五敌最快4次事件；满20层40%攻击并强化S2。
148|全队自损事件|0|8|1|8次满48%攻击；自身每主动2次，所以仅靠自身需4次主动，不是8次主动。
149|旋律层数|0|10|1|普通弱化每次1层、控制每次5层，满层需10次普通弱化或2次控制；S2还需全队累计净化10种。
150|全队主动恢复事件|0|10|1|10次满60%攻击/暴率，且第7回合开始后才开S2；普通攻击治疗不是主动恢复，不计此计数。
151|回合|0|2|1|第2回合来源加攻持续3回合；献身仅首次行动起3回合，无刷新，不能当常驻全队分伤。
153|回合与增益种类|0|9|1|通用场景第9回合提升辅助与S2，10种友军增益达940%；自动战斗/首领模式辅助可提前成熟。
