# Authored mature skill components: ID|S1|S2|normal (coefficient,hits,targets; targets=0 means random hits total). + separates groups; p prefix is primary-stat direct damage. External/conditional branches are documented in decisions.mjs.
69|3.8,1,5|9.3,1,5|1,1,1
70|0,1,1|0,1,1|1,1,1
71|3.3,1,4|2.3,9,0|1,1,1
72|3.3,5,0|4.5,1,5|1,1,1
73|1.8,1,5|6.8,6,1|1,1,1
74|0,1,1|3.4,1,5|1,1,1
75|4.2,5,0|5.8,7,0|1,1,1
76|1.5,1,5|0,1,1|1,1,1
77|6,1,3|11,1,3|1,1,1
78|3.8,5,0|3.8,15,1|1,1,1
79|4.8,7,0|12.8,1,3|1,1,1
80|1.8,1,3|19.2,4,0|1,1,1
81|2.8,1,3|11.2,4,1|1,1,1
82|2.8,1,5|4.2,10,1|1,1,1
83|2.8,1,5|3.2,5,0|1,1,1
84|8.1,1,5|7.2,5,0|1,1,1
85|6.8,1,1|3.8,2,2|1,1,1
86|11,5,0|7.5,5,0|1,1,1
87|6.2,1,3|11.4,1,3|1,1,1
88|2.4,1,5|1.8,10,0|1,1,1
89|7.3,5,0|5.8,5,0|1,1,1
90|5.9,4,0|4.7,12,1|1,1,1
92|4.8,4,0|14.4,1,3|1,1,1
93|5.2,6,0|11.4,7,0|1,1,1
95|4.2,1,5|4.2,1,5|1,1,1
96|5.4,1,5|8.7,8,1|1,1,1
97|3.8,1,3|8.7,1,3|1,1,1
99|6.3,6,0|11.2,1,3|6,3,0
100|5.9,1,5|24.5,1,3|1,1,1
101|4.8,1,5|9.9,1,3|1,1,1
102|3.9,5,0|10.2,5,0|1,1,1
103|4.8,1,3|19.2,1,3|1,1,1
105|6.8,3,3|19.8,1,3|1,1,1
106|1.8,1,3|19.2,1,3|1,1,1
107|4.8,1,5|4.2,5,1|1,1,1
108|19.2,1,5|23.2,1,5|1,1,1
109|2.8,1,5|7.6,8,1|1,1,1
111|3.6,1,5|2.4,5,0|1,1,1
112|5.8,8,0|22.8,1,3|1,1,1
113|6.4,5,0|7.4,6,1|1,1,1
114|11.8,1,5|6.2,8,0|1,1,1
115|6.3,6,1|27.2,4,1|1,1,1
116|4.7,1,3|5.3,4,0|1,1,1
117|6.8,1,5|17.9,1,3|1,1,1
121|5.8,3,0|13.6,4,1|1,1,1
122|7.9,1,5|11.2,5,0|1,1,1
123|13.2,1,3|11.8,1,3|1,1,1
124|6.8,1,3|11.2,4,1|1,1,1
125|4.2,1,5|18.9,1,3|1,1,1
126|16.4,1,4|11.2,4,0|1,1,1
128|4.8,8,0|7.8,5,0|1,1,1
129|5.1,10,0|19.8,1,3|1,1,1
130|6.7,8,0|15.2,5,0|1,1,1
131|5.8,1,5|23.4,1,2|1,1,1
132|7.2,1,5|7.8,4,0|1,1,1
134|4.6,1,5|5.7,1,5|1,1,1
135|4.4,1,5|8.4,7,1|1,1,1
137|4.8,1,5|22.8,1,2|1,1,1
139|3.6,1,5|15.2,1,4|1,1,1
140|2.4,1,5|19.8,1,3|1,1,1
141|2.4,1,3|3.2,10,0|1,1,1
148|7.2,5,0|7.4,5,0|1,1,1
149|6.8,1,5|9.4,5,0|1,1,1
150|19.6,3,0|10.5,10,0|1,1,1
151|4.8,1,5|6.1,5,0|1,1,1
153|5.8,1,5|9.4,5,0|1,1,1
